client_ip,server_ip,client_port,server_port,proto,packets_total,packets_c2s,packets_s2c,bytes_cap_total,bytes_cap_c2s,bytes_cap_s2c,bytes_wire_total,bytes_wire_c2s,bytes_wire_s2c,first_ts_ns,last_ts_ns,duration_ns,tcp_syn_total,tcp_syn_c2s,tcp_synack_s2c,tcp_ack_total,tcp_fin_total,tcp_rst_total,tcp_psh_total,tls_client_hello_c2s,ja4_legacy_version,ja4_cipher_suites_count,ja4_extensions_count,ja4_has_sni,ja4_alpn,ja4_cipher_suites,ja4_extensions,avg_wirelen_total,anomaly_score,is_anomaly
10.3.14.101,23.34.82.70,49772,443,6,1,1,0,60,60,0,60,60,0,1710448900358616000,1710448900358616000,0,0,0,0,1,0,1,0,0,-,0,0,0,-,-,-,60.0,0.9561342,1
10.3.14.101,23.34.82.70,49772,443,6,1,1,0,60,60,0,60,60,0,1710448900358616000,1710448900358616000,0,0,0,0,0,0,1,0,0,-,0,0,0,-,-,-,60.0,0.05866665,0
13.107.6.158,10.3.14.101,443,49768,6,2,2,0,120,120,0,120,120,0,1710448900362193000,1710448900362193000,0,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,60.0,0.036548987,0
10.3.14.101,13.107.6.158,49768,443,6,1,1,0,60,60,0,60,60,0,1710448900362421000,1710448900362421000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0
204.79.197.239,10.3.14.101,443,49771,6,2,2,0,120,120,0,120,120,0,1710448900395769000,1710448900395769000,0,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,60.0,0.036548987,0
10.3.14.101,204.79.197.239,49771,443,6,1,1,0,60,60,0,60,60,0,1710448900395993000,1710448900395993000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0
10.3.14.101,104.17.123.55,49761,443,6,21,11,10,5587,1264,4323,5587,1264,4323,1710448890356523000,1710448890686816000,330293000,2,1,1,20,1,0,10,1,0303,20,12,1,h2;http/1.1,1302;1301;c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f,0000;0005;002b;000d;0023;000a;0010;0033;0031;0017;ff01;002d,266.048,0.96653205,1
10.3.14.101,101.99.94.234,49763,8789,6,2,2,0,120,120,0,120,120,0,1710448905353714000,1710448905353827000,113000,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,60.0,0.0026246407,0
10.3.14.101,208.95.112.1,49779,80,6,7,4,3,675,320,355,675,320,355,1710448917454630000,1710448957101090000,39646460000,2,1,1,6,0,1,2,0,-,0,0,0,-,-,-,96.429,0.8817246,1
101.99.94.234,10.3.14.101,8789,49763,6,1,1,0,60,60,0,60,60,0,1710448905524054000,1710448905524054000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0
10.3.14.101,91.134.150.150,49774,7000,6,49,25,24,3801,2186,1615,3801,2186,1615,1710448906114908000,1710449024633524000,118518616000,2,1,1,48,0,0,32,0,-,0,0,0,-,-,-,77.571,0.0059209284,0
10.3.14.101,104.16.185.241,49778,80,6,14,9,5,2562,669,1893,2562,669,1893,1710448916118529000,1710449018887853000,102769324000,2,1,1,13,1,0,6,0,-,0,0,0,-,-,-,183.0,0.008040209,0
10.3.14.101,91.134.150.150,49783,3232,6,59,31,28,7390,4025,3365,7390,4025,3365,1710448923678714000,1710449036701508000,113022794000,2,1,1,58,0,0,30,1,0301,6,5,0,-,c00a;c009;c014;c013;0035;002f,000a;000b;0023;0017;ff01,125.254,0.993082,1
101.99.94.234,10.3.14.101,8789,49764,6,1,1,0,60,60,0,60,60,0,1710448905531128000,1710448905531128000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0
