client_ip,server_ip,client_port,server_port,proto,packets_total,packets_c2s,packets_s2c,bytes_cap_total,bytes_cap_c2s,bytes_cap_s2c,bytes_wire_total,bytes_wire_c2s,bytes_wire_s2c,first_ts_ns,last_ts_ns,duration_ns,tcp_syn_total,tcp_syn_c2s,tcp_synack_s2c,tcp_ack_total,tcp_fin_total,tcp_rst_total,tcp_psh_total,tls_client_hello_c2s,ja4_legacy_version,ja4_cipher_suites_count,ja4_extensions_count,ja4_has_sni,ja4_alpn,ja4_cipher_suites,ja4_extensions,avg_wirelen_total,anomaly_score,is_anomaly,ja4_present,duration_s,bytes_per_packet,bytes_per_s,c2s_to_s2c_ratio,s2c_to_c2s_ratio,is_tls,is_tls_nonstandard_port,timeline_bucket_id,timeline_bucket_s
10.10.20.147,10.10.20.20,51090,135,6,11,7,4,1758,886,872,1758,886,872,1695930204835766000,1695930205733892000,898126000,2,1,1,10,0,1,6,0,-,0,0,0,-,-,-,159.818,0.09302654,0,1,0.898126,159.8181818181818,1957.4090940469378,1.0160550458715596,0.9841986455981941,1,1,28265503,1695930180
10.10.20.147,10.10.20.20,51089,49669,6,17,10,7,4967,3528,1439,4967,3528,1439,1695930204831492000,1695930239541112000,34709620000,2,1,1,16,1,0,10,0,-,0,0,0,-,-,-,292.176,0.05365275,0,1,34.70962,292.1764705882353,143.10153784455144,2.4517025712300207,0.4078798185941043,1,1,28265503,1695930180
10.10.20.147,10.10.20.20,51088,135,6,9,6,3,1214,664,550,1214,664,550,1695930204829671000,1695930219527981000,14698310000,2,1,1,8,1,0,4,0,-,0,0,0,-,-,-,134.889,0.022223955,0,1,14.69831,134.88888888888889,82.59452957516885,1.2072727272727273,0.8283132530120482,1,1,28265503,1695930180
10.10.20.147,10.10.20.255,138,138,17,1,1,0,243,243,0,243,243,0,1695930199909626000,1695930199909626000,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,243.0,0.002644588,0,1,0.0,243.0,0.0,243.0,0.0,1,1,28265503,1695930180
10.10.20.147,172.86.75.88,50795,443,6,8,4,4,500,250,250,500,250,250,1695930137109394000,1695930198044342000,60934948000,0,0,0,8,0,0,4,0,-,0,0,0,-,-,-,62.5,0.029189369,0,1,60.934948,62.5,8.205471841873074,1.0,1.0,1,0,28265502,1695930120
10.10.20.147,10.10.20.1,137,137,17,4,4,0,440,440,0,440,440,0,1695930049519513000,1695930169514303000,119994790000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,110.0,0.001116278,0,1,119.99479,110.0,3.6668258680231034,440.0,0.0,1,1,28265500,1695930000
10.10.20.147,20.42.65.90,51087,443,6,1,1,0,54,54,0,54,54,0,1695930048601101000,1695930048601101000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,54.0,0.059042837,0,1,0.0,54.0,0.0,54.0,0.0,1,0,28265500,1695930000
10.10.20.147,20.42.65.90,51087,443,6,32,15,17,9733,3834,5899,9733,3834,5899,1695930047897487000,1695930048460534000,563047000,2,1,1,31,1,0,15,1,0303,19,9,1,h2;http/1.1,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0010;0017;ff01,304.156,0.9990823,1,1,0.563047,304.15625,17286.301143599027,0.6499406679098152,1.538601982263954,1,0,28265500,1695930000
10.10.20.147,10.10.20.20,61793,53,17,2,1,1,315,89,226,315,89,226,1695930047456269000,1695930047896326000,440057000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,157.5,0.000104976025,0,1,0.440057,157.5,715.8163601533438,0.3938053097345133,2.539325842696629,1,1,28265500,1695930000
10.10.20.147,10.10.20.20,62641,53,17,4,3,1,379,228,151,379,228,151,1695930025540844000,1695930028755271000,3214427000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,94.75,0.00033889382,0,1,3.214427,94.75,117.905928490521,1.509933774834437,0.6622807017543859,1,1,28265500,1695930000
10.10.20.147,10.10.20.20,54451,53,17,2,1,1,232,78,154,232,78,154,1695930025539946000,1695930025540363000,417000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,116.0,0.000595686,0,1,0.000417,116.0,556354.9160671462,0.5064935064935064,1.9743589743589745,1,1,28265500,1695930000
10.10.20.147,172.86.75.88,50795,443,6,8,4,4,500,250,250,500,250,250,1695930016302390000,1695930077141349000,60838959000,0,0,0,8,0,0,4,0,-,0,0,0,-,-,-,62.5,0.029189369,0,1,60.838959,62.5,8.218418069908132,1.0,1.0,1,0,28265500,1695930000
157.245.106.203,10.10.20.147,443,51085,6,2,1,1,108,54,54,108,54,54,1695929970924338000,1695929970924542000,204000,0,0,0,2,0,0,0,0,-,0,0,0,-,-,-,54.0,0.013723746,0,1,0.000204,54.0,529411.7647058824,1.0,1.0,1,1,28265499,1695929940
157.245.106.203,10.10.20.147,443,51085,6,1,1,0,54,54,0,54,54,0,1695929970924314000,1695929970924314000,0,0,0,0,1,1,0,1,0,-,0,0,0,-,-,-,54.0,0.013748552,0,1,0.0,54.0,0.0,54.0,0.0,1,1,28265499,1695929940
10.10.20.147,239.255.255.250,51267,1900,17,6,6,0,1074,1074,0,1074,1074,0,1695929929536994000,1695929944571340000,15034346000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,179.0,0.0014758334,0,1,15.034346,179.0,71.43642962587133,1074.0,0.0,1,1,28265498,1695929880
10.10.20.147,10.10.20.20,51086,445,6,27,16,11,8068,5638,2430,8068,5638,2430,1695929931950584000,1695929942698913000,10748329000,2,1,1,26,0,1,18,0,-,0,0,0,-,-,-,298.815,0.23372817,0,1,10.748329,298.81481481481484,750.6283069675295,2.320164609053498,0.43100390209294076,1,1,28265498,1695929880
10.10.20.147,224.0.0.251,5353,5353,17,2,2,0,172,172,0,172,172,0,1695929929534747000,1695929929534911000,164000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,86.0,0.00011941318,0,1,0.000164,86.0,1048780.487804878,172.0,0.0,1,1,28265498,1695929880
10.10.20.147,10.10.20.20,63129,53,17,2,1,1,257,89,168,257,89,168,1695929929534424000,1695929929534791000,367000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,128.5,0.000477263,0,1,0.000367,128.5,700272.4795640328,0.5297619047619048,1.8876404494382022,1,1,28265498,1695929880
10.10.20.147,157.245.106.203,51085,443,6,16,8,8,3157,975,2182,3157,975,2182,1695929903129982000,1695929970924114000,67794132000,2,1,1,15,1,0,8,1,0303,19,8,1,-,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0017;ff01,197.312,0.9970944,1,1,67.794132,197.3125,46.567452180079535,0.44683776351970667,2.237948717948718,1,0,28265498,1695929880
10.10.20.147,224.0.0.252,55554,5355,17,1,1,0,75,75,0,75,75,0,1695929929535197000,1695929929535197000,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,75.0,0.001681057,0,1,0.0,75.0,0.0,75.0,0.0,1,1,28265498,1695929880
