client_ip,server_ip,client_port,server_port,proto,packets_total,packets_c2s,packets_s2c,bytes_cap_total,bytes_cap_c2s,bytes_cap_s2c,bytes_wire_total,bytes_wire_c2s,bytes_wire_s2c,first_ts_ns,last_ts_ns,duration_ns,tcp_syn_total,tcp_syn_c2s,tcp_synack_s2c,tcp_ack_total,tcp_fin_total,tcp_rst_total,tcp_psh_total,tls_client_hello_c2s,ja4_legacy_version,ja4_cipher_suites_count,ja4_extensions_count,ja4_has_sni,ja4_alpn,ja4_cipher_suites,ja4_extensions,avg_wirelen_total,anomaly_score,is_anomaly,ja4_present,duration_s,bytes_per_packet,bytes_per_s,c2s_to_s2c_ratio,s2c_to_c2s_ratio,is_tls,is_tls_nonstandard_port,timeline_bucket_id,timeline_bucket_s
52.153.155.231,10.3.14.101,443,49770,6,2,2,0,120,120,0,120,120,0,1710448900356715000,1710448900356715000,0,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,60.0,0.036548987,0,1,0.0,60.0,0.0,120.0,0.0,1,1,28507481,1710448860
10.3.14.101,23.34.82.70,49772,443,6,1,1,0,60,60,0,60,60,0,1710448900358616000,1710448900358616000,0,0,0,0,1,0,1,0,0,-,0,0,0,-,-,-,60.0,0.9561342,1,1,0.0,60.0,0.0,60.0,0.0,1,0,28507481,1710448860
10.3.14.101,23.34.82.70,49772,443,6,1,1,0,60,60,0,60,60,0,1710448900358616000,1710448900358616000,0,0,0,0,0,0,1,0,0,-,0,0,0,-,-,-,60.0,0.05866665,0,1,0.0,60.0,0.0,60.0,0.0,1,0,28507481,1710448860
13.107.6.158,10.3.14.101,443,49768,6,2,2,0,120,120,0,120,120,0,1710448900362193000,1710448900362193000,0,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,60.0,0.036548987,0,1,0.0,60.0,0.0,120.0,0.0,1,1,28507481,1710448860
10.3.14.101,13.107.6.158,49768,443,6,1,1,0,60,60,0,60,60,0,1710448900362421000,1710448900362421000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0,1,0.0,60.0,0.0,60.0,0.0,1,0,28507481,1710448860
204.79.197.239,10.3.14.101,443,49771,6,2,2,0,120,120,0,120,120,0,1710448900395769000,1710448900395769000,0,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,60.0,0.036548987,0,1,0.0,60.0,0.0,120.0,0.0,1,1,28507481,1710448860
10.3.14.101,204.79.197.239,49771,443,6,1,1,0,60,60,0,60,60,0,1710448900395993000,1710448900395993000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0,1,0.0,60.0,0.0,60.0,0.0,1,0,28507481,1710448860
10.3.14.101,104.17.123.55,49761,443,6,21,11,10,5587,1264,4323,5587,1264,4323,1710448890356523000,1710448890686816000,330293000,2,1,1,20,1,0,10,1,0303,20,12,1,h2;http/1.1,1302;1301;c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f,0000;0005;002b;000d;0023;000a;0010;0033;0031;0017;ff01;002d,266.048,0.96653205,1,1,0.330293,266.04761904761904,16915.28430817486,0.29238954429794123,3.420094936708861,1,0,28507481,1710448860
10.3.14.101,101.99.94.234,49763,8789,6,2,2,0,120,120,0,120,120,0,1710448905353714000,1710448905353827000,113000,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,60.0,0.0026246407,0,1,0.000113,60.0,1061946.9026548674,120.0,0.0,1,1,28507481,1710448860
10.3.14.101,208.95.112.1,49779,80,6,7,4,3,675,320,355,675,320,355,1710448917454630000,1710448957101090000,39646460000,2,1,1,6,0,1,2,0,-,0,0,0,-,-,-,96.429,0.8817246,1,1,39.64646,96.42857142857143,17.025479702349216,0.9014084507042254,1.109375,1,1,28507481,1710448860
101.99.94.234,10.3.14.101,8789,49763,6,1,1,0,60,60,0,60,60,0,1710448905524054000,1710448905524054000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0,1,0.0,60.0,0.0,60.0,0.0,1,1,28507481,1710448860
10.3.14.101,91.134.150.150,49774,7000,6,49,25,24,3801,2186,1615,3801,2186,1615,1710448906114908000,1710449024633524000,118518616000,2,1,1,48,0,0,32,0,-,0,0,0,-,-,-,77.571,0.0059209284,0,1,118.518616,77.57142857142857,32.07091112167561,1.353560371517028,0.7387923147301007,1,1,28507481,1710448860
10.3.14.101,104.16.185.241,49778,80,6,14,9,5,2562,669,1893,2562,669,1893,1710448916118529000,1710449018887853000,102769324000,2,1,1,13,1,0,6,0,-,0,0,0,-,-,-,183.0,0.008040209,0,1,102.769324,183.0,24.929618102771602,0.35340729001584786,2.8295964125560538,1,1,28507481,1710448860
10.3.14.101,91.134.150.150,49783,3232,6,59,31,28,7390,4025,3365,7390,4025,3365,1710448923678714000,1710449036701508000,113022794000,2,1,1,58,0,0,30,1,0301,6,5,0,-,c00a;c009;c014;c013;0035;002f,000a;000b;0023;0017;ff01,125.254,0.993082,1,1,113.022794,125.2542372881356,65.3850408263664,1.1961367013372957,0.8360248447204969,1,1,28507482,1710448920
101.99.94.234,10.3.14.101,8789,49764,6,1,1,0,60,60,0,60,60,0,1710448905531128000,1710448905531128000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0,1,0.0,60.0,0.0,60.0,0.0,1,1,28507481,1710448860
10.3.14.101,104.17.123.55,49762,443,6,29056,9992,19064,27427140,670283,26756857,27427140,670283,26756857,1710448890721889000,1710448921106292000,30384403000,2,1,1,29055,1,0,3241,1,0303,20,12,1,h2;http/1.1,1302;1301;c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f,0000;0005;002b;000d;0023;000a;0010;0033;0031;0017;ff01;002d,943.941,0.9703005,1,1,30.384403,943.9406662995594,902671.6766493652,0.025050886955818464,39.9187462609077,1,0,28507481,1710448860
10.3.14.101,101.99.94.234,49765,8789,6,2,2,0,120,120,0,120,120,0,1710448905858595000,1710448905858694000,99000,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,60.0,0.0026246407,0,1,9.9e-05,60.0,1212121.2121212122,120.0,0.0,1,1,28507481,1710448860
10.3.14.101,104.17.123.55,49782,443,6,1,1,0,60,60,0,60,60,0,1710448949990457000,1710448949990457000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0,1,0.0,60.0,0.0,60.0,0.0,1,0,28507482,1710448920
101.99.94.234,10.3.14.101,8789,49765,6,1,1,0,60,60,0,60,60,0,1710448906025014000,1710448906025014000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0,1,0.0,60.0,0.0,60.0,0.0,1,1,28507481,1710448860
101.99.94.234,10.3.14.101,8789,49766,6,1,1,0,60,60,0,60,60,0,1710448906535196000,1710448906535196000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0,1,0.0,60.0,0.0,60.0,0.0,1,1,28507481,1710448860
10.3.14.101,101.99.94.234,49767,8789,6,2,2,0,120,120,0,120,120,0,1710448906894288000,1710448906894288000,0,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,60.0,0.036548987,0,1,0.0,60.0,0.0,120.0,0.0,1,1,28507481,1710448860
10.3.14.101,104.21.44.66,49780,443,6,16,8,8,7212,955,6257,7212,955,6257,1710448918978733000,1710449019702656000,100723923000,2,1,1,15,1,0,4,1,0303,20,10,1,-,1302;1301;c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f,0000;002b;000d;0023;000a;0033;0031;0017;ff01;002d,450.75,0.9976841,1,1,100.723923,450.75,71.60165912123975,0.15262905545788716,6.551832460732984,1,0,28507481,1710448860
10.3.14.101,101.99.94.234,49763,8789,6,7,4,3,871,385,486,871,385,486,1710448894571039000,1710448905353378000,10782339000,2,1,1,6,1,0,2,0,-,0,0,0,-,-,-,124.429,0.07152733,0,1,10.782339,124.42857142857143,80.78024628978925,0.7921810699588477,1.2623376623376623,1,1,28507481,1710448860
10.3.14.101,91.92.252.234,49777,3232,6,8,5,3,807,478,329,807,478,329,1710448914580743000,1710448921847580000,7266837000,2,1,1,7,0,1,3,1,0301,6,5,0,-,c00a;c009;c014;c013;0035;002f,000a;000b;0023;0017;ff01,100.875,0.9956469,1,1,7.266837,100.875,111.05244276154812,1.452887537993921,0.6882845188284519,1,1,28507481,1710448860
10.3.14.101,20.42.65.92,49781,443,6,23,13,10,14914,8829,6085,14914,8829,6085,1710448921057046000,1710448921757835000,700789000,2,1,1,22,1,0,8,1,0303,18,8,1,-,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f,0000;0005;000a;000b;000d;0023;0017;ff01,648.435,0.9959778,1,1,0.700789,648.4347826086956,21281.72673943227,1.4509449465899753,0.6892060255974629,1,0,28507482,1710448920
